name,raw_formula,formula,net_excess_pct,gross_excess_pct,turnover_pct,annual_cost_pct,coverage,max_abs_correlation,max_corr,closest_factor,closest_handler,closest_platform_net_excess_pct,below_threshold,existing_factor_count
SAFE-BLEND-V4-V5-80-20,0.80*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.20*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(RATIO_EP_TTM)+RANK(OPER_ROE_LYR))/5),0.80*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.20*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(RATIO_EP_TTM)+RANK(OPER_ROE_LYR))/5),6.7132038564231875,8.251251679733086,5.086136981844902,1.5380478233098984,1.0,0.41588502375586683,0.41588502375586683,paper-derived-composite,paper_composite,11.202328,True,35
SAFE-BLEND-V4-SMOOTH-80-20,"0.80*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.20*EMA(WMA((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4,40),20)","0.80*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.20*EMA(WMA((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4,40),20)",6.594856219786332,7.949623942869828,4.4800519943237305,1.354767723083496,1.0,0.4194787428089959,0.4194787428089959,paper-derived-composite,paper_composite,11.202328,True,35
SAFE-BLEND-V4-SMOOTH-60-40,"0.60*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.40*EMA(WMA((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4,40),20)","0.60*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.40*EMA(WMA((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4,40),20)",6.515441676059205,7.693509798326928,3.8957279175519943,1.178068122267723,1.0,0.420462556465885,0.420462556465885,paper-derived-composite,paper_composite,11.202328,True,35
SAFE-BLEND-V4-SMOOTH-40-60,"0.40*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.60*EMA(WMA((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4,40),20)","0.40*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.60*EMA(WMA((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4,40),20)",6.266338230853753,7.268556717520433,3.3142145723104477,1.0022184866666795,1.0,0.4205211278151529,0.4205211278151529,paper-derived-composite,paper_composite,11.202328,True,35
SAFE-BLEND-V4-V5-60-40,0.60*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.40*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(RATIO_EP_TTM)+RANK(OPER_ROE_LYR))/5),0.60*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.40*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(RATIO_EP_TTM)+RANK(OPER_ROE_LYR))/5),6.126334920849544,7.708245342697841,5.231185257434845,1.581910421848297,1.0,0.412616900595048,0.412616900595048,paper-derived-composite,paper_composite,11.202328,True,35
SAFE-BLEND-V4-EP-90-10,0.90*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.10*RANK(RATIO_EP_TTM),0.90*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.10*RANK(RATIO_EP_TTM),5.6202737995598815,7.193120178839972,5.20121157169342,1.5728463792800902,1.0,0.41007873207431045,0.41007873207431045,paper-derived-composite,paper_composite,11.202328,True,35
SAFE-BLEND-V4-SMOOTH-20-80,"0.20*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.80*EMA(WMA((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4,40),20)","0.20*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.80*EMA(WMA((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4,40),20)",5.582167613414808,6.458436463383718,2.897714450955391,0.8762688499689102,1.0,0.41949630400187987,0.41949630400187987,paper-derived-composite,paper_composite,11.202328,True,35
SAFE-BLEND-V4-V5-40-60,0.40*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.60*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(RATIO_EP_TTM)+RANK(OPER_ROE_LYR))/5),0.40*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.60*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(RATIO_EP_TTM)+RANK(OPER_ROE_LYR))/5),5.134735525735186,6.700495031364725,5.177776142954826,1.5657595056295395,1.0,0.40699560490931086,0.40699560490931086,paper-derived-composite,paper_composite,11.202328,True,35
SAFE-BLEND-V4-V5-20-80,0.20*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.80*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(RATIO_EP_TTM)+RANK(OPER_ROE_LYR))/5),0.20*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.80*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(RATIO_EP_TTM)+RANK(OPER_ROE_LYR))/5),4.837880627517879,6.407106684451282,5.189239606261253,1.5692260569334031,1.0,0.39938864889976755,0.39938864889976755,paper-derived-composite,paper_composite,11.202328,True,35
SAFE-BLEND-V4-EP-75-25,0.75*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.25*RANK(RATIO_EP_TTM),0.75*((RANK(1/CURRENT_ASSETS)+RANK(1/GR_TOTAL_ASSET_LYR)+RANK(BOOK_TO_MARKET_RATIO_LF)+RANK(OPER_ROE_LYR))/4)+0.25*RANK(RATIO_EP_TTM),3.1045131945783178,4.691223188059953,5.247056856751442,1.586709993481636,1.0,0.3771051157028238,0.3771051157028238,paper-derived-composite,paper_composite,11.202328,True,35
