key,cluster,handler,direction,formula,name,source_id,source_cycle,platform_configured_cycle,platform_net_excess_pct,alignment_quality,local_mining_eligible,fidelity
SIZE,B01,size_only,0,RANK(MARKET_CAP),SIZE-ONLY-20260911,size-only-20260911-candidates.report:SIZE-ONLY-20260911,10,10,21.433287999999997,aligned,True,direct local market-cap rank from Tushare daily_basic total_mv
H03,B01,impact60,1,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",H03-T10-SINGLE,h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,10,10,16.443255999999998,aligned,True,market proxy: cached high/low/amount when present; otherwise open/close range and volume*average-price proxies
TURN,B02,turn_bias,0,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",HT13-TURN-BIAS-1M,positive-cycle10-candidates.report:HT13-TURN-BIAS-1M,10,10,4.962135999999999,field_or_path_mismatch,False,direct local market-data reconstruction
RET40,B03,reversal40,1,"RANK(1 - RETURNS(CLOSE,40))",OSR2-RET40,positive-cycle10-candidates.report:OSR2-RET40,10,10,5.030975999999999,aligned,True,direct local market-data reconstruction
DD120,B04,drawdown120,1,"RANK(1 - CLOSE / TS_MAX(CLOSE,120))",OSR2-DD120,positive-cycle10-candidates.report:OSR2-DD120,10,10,4.246232,aligned,True,direct local market-data reconstruction
CHIP250,B05,chip250,1,"RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)",NONHT-CHIP-COST-250,nonht-report-directions-20260909-formula.report:NONHT-CHIP-COST-250,10,10,4.279336,aligned,True,direct local market-data reconstruction
EVEBITDA,B07,ev_ebitda_proxy,1,RANK(-ratio_ev_ebitda_ttm),NEW-VALUE-EVEBITDA,high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,10,10,3.3196399999999997,field_or_path_mismatch,False,PIT proxy: EV uses market cap plus liabilities less cash when present; EBITDA falls back to TTM operating profit
BM,B08,value_bm,1,ratio_bm_ttm,HT13-VALUE-BP,huatai-series13-candidates.report:HT13-VALUE-BP,5,5,2.098992,field_or_path_mismatch,False,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
DD60,B09,drawdown60,1,"RANK(1 - CLOSE / TS_MAX(CLOSE,60))",OSR2-DD60,oversold-rebound-recovery-candidates.report:OSR2-DD60,5,5,1.9485279999999996,aligned,True,direct local market-data reconstruction
ASSET_GROWTH,B10,asset_growth,0,RANK(gr_total_asset_lyr),paper-derived-asset-growth,paper-derived-full.report:paper-derived-asset-growth,5,,0.76496,aligned,True,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
RESVOL,B11,residual_volatility,1,RANK(-residual_volatility),NONHT-RESVOL-LOW,nonhuatai-factor-6-20260909.report:NONHT-RESVOL-LOW,10,10,0.37087199999999987,field_or_path_mismatch,False,"proxy: market-model residual volatility, not the platform Barra field"
SP,B12,value_sp,1,ratio_sp_ttm,HT13-VALUE-SP,huatai-series13-candidates.report:HT13-VALUE-SP,5,5,0.11094400000000004,field_or_path_mismatch,False,Tushare PIT financial proxy; consolidated statements and reconstructed TTM
