key,handler,direction,cluster,source_id,name,formula,source_handler,source_cycle,platform_configured_cycle,platform_direction,platform_net_excess_pct,local_net_excess_pct,alignment_quality,local_mining_eligible,fidelity,alignment_quality_reason,candidate_key,platform_direction_source,platform_factor_direction,platform_A_raw,platform_net,local_net,net_gap_pp
SIZE,size_only,0,B01,size-only-20260911-candidates.report:SIZE-ONLY-20260911,SIZE-ONLY-20260911,RANK(MARKET_CAP),size_only,10,10,0,21.433287999999997,17.15927516014886,aligned,True,direct local market-cap rank from Tushare daily_basic total_mv,"net, gross, RankIC, Top20 and period coverage are within thresholds",SIZE,saved_platform_direction,0.0,0.010244872746,21.433288,17.125963541189368,-4.307324458810633
H03,impact60,1,B01,h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",impact60,10,10,1,16.443255999999998,15.337952869478096,aligned,True,market proxy: cached high/low/amount when present; otherwise open/close range and volume*average-price proxies,"net, gross, RankIC, Top20 and period coverage are within thresholds",H03,saved_platform_direction,1.0,0.015785968169999998,16.443255999999998,14.266467209956108,-2.17678879004389
RET40,reversal40,1,B03,positive-cycle10-candidates.report:OSR2-RET40,OSR2-RET40,"RANK(1 - RETURNS(CLOSE,40))",reversal40,10,10,1,5.030975999999999,1.7140200901006124,aligned,True,direct local market-data reconstruction,"net, gross, RankIC, Top20 and period coverage are within thresholds",RET40,saved_platform_direction,1.0,0.019352234872000003,5.030975999999999,1.7140200901006333,-3.3169559098993657
DD120,drawdown120,1,B04,positive-cycle10-candidates.report:OSR2-DD120,OSR2-DD120,"RANK(1 - CLOSE / TS_MAX(CLOSE,120))",drawdown120,10,10,1,4.246232,1.8107466161883954,aligned,True,direct local market-data reconstruction,"net, gross, RankIC, Top20 and period coverage are within thresholds",DD120,saved_platform_direction,1.0,0.003869999775,4.246232,1.8107466161884196,-2.4354853838115806
CHIP250,chip250,1,B05,nonht-report-directions-20260909-formula.report:NONHT-CHIP-COST-250,NONHT-CHIP-COST-250,"RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)",chip250,10,10,1,4.279336,2.63332467513993,aligned,True,direct local market-data reconstruction,"net, gross, RankIC, Top20 and period coverage are within thresholds",CHIP250,saved_platform_direction,1.0,0.009270568553999999,4.279336,2.6333246751399266,-1.6460113248600732
DD60,drawdown60,1,B09,oversold-rebound-recovery-candidates.report:OSR2-DD60,OSR2-DD60,"RANK(1 - CLOSE / TS_MAX(CLOSE,60))",drawdown60,5,5,1,1.9485279999999996,-2.348999547577954,aligned,True,direct local market-data reconstruction,"net, gross, RankIC, Top20 and period coverage are within thresholds",DD60,saved_platform_direction,1.0,0.002422792848,1.948528,-0.7086662836883597,-2.6571942836883595
ASSET_GROWTH,asset_growth,0,B10,paper-derived-full.report:paper-derived-asset-growth,paper-derived-asset-growth,RANK(gr_total_asset_lyr),asset_growth,5,,,0.76496,-2.346837688827086,aligned,True,Tushare PIT financial proxy; consolidated statements and reconstructed TTM,"net, gross, RankIC, Top20 and period coverage are within thresholds",ASSET_GROWTH,manual_cluster_record_direction,0.0,0.00056191047,0.76496,-2.657015297708374,-3.4219752977083737
C01,C01,1,composite,,F-C260921-01,,,10,,,,,pending_formula_audit,,,,,,,0.0205860627,11.179480000000002,5.965252181255307,-5.214227818744694
C02,C02,1,composite,,F-C260921-02,,,10,,,,,pending_formula_audit,,,,,,,0.01661622,10.466728,5.765215812118727,-4.7015121878812725
C03,C03,1,composite,,F-C260921-03,,,10,,,,,pending_formula_audit,,,,,,,0.014807713073999997,8.640304,4.024139624737876,-4.616164375262125
