factor_id,factor_name,report,handler,formula,platform_net_excess_pct,status,reason
alphaprobe-gfn-new-20260916-candidates.report:F-GFN-N02-20260916,F-GFN-N02-20260916,alphaprobe-gfn-new-20260916-candidates.report.csv,book_to_market_lf_div_oper_main_profit_ttm,BOOK_TO_MARKET_RATIO_LF / OPER_MAIN_PROFIT_TTM,12.274464,local_signal_unavailable,local handler returned no finite signal values in the formal window
report-backed-untested-candidates.report:HT13-NEW-HIST-OPPROFIT-6Q,HT13-NEW-HIST-OPPROFIT-6Q,report-backed-untested-candidates.report.csv,quality_oper_profit_tsrank756,"TS_RANK(oper_oper_profit_to_tp_ttm,756)",-3.7639839999999998,local_signal_unavailable,local handler returned no finite signal values in the formal window
base-fields-3-20260910-candidates.report:BASE-DIV-YIELD-TTM,BASE-DIV-YIELD-TTM,base-fields-3-20260910-candidates.report.csv,,RANK(dividend_yield_ttm),-0.07032800000000006,no_local_handler,local snapshot has no complete point-in-time dividend history for dividend_yield_ttm
distribution-risk-intraday-3signal-10d-candidate.report:DISTRIBUTION-INTRADAY-3SIGNAL-10D,DISTRIBUTION-INTRADAY-3SIGNAL-10D,distribution-risk-intraday-3signal-10d-candidate.report.csv,,(RANK(cal_close_30min_vol_ratio) + RANK(-cal_close_30min_return) + RANK(-cal_close_15min_vol_price_corr)),-20.852472,no_local_handler,platform intraday cal_* fields are not present in the local daily cache
market-behavior-washout-distribution-cycle10-candidates.report:DISTRIBUTION-RISK-10D,DISTRIBUTION-RISK-10D,market-behavior-washout-distribution-cycle10-candidates.report.csv,,"(RANK(RETURNS(CLOSE,60)) + RANK(cal_close_30min_vol_ratio) + RANK(-cal_close_30min_return) + RANK(-cal_close_15min_vol_price_corr) + RANK(MA(TURNOVER,21) / MA(TURNOVER,252))) / 5",-5.765111999999999,no_local_handler,platform intraday cal_* fields are not present in the local daily cache
distribution-risk-core-10d-candidate.report:DISTRIBUTION-RISK-CORE-10D,DISTRIBUTION-RISK-CORE-10D,distribution-risk-core-10d-candidate.report.csv,,"(RANK(cal_close_30min_vol_ratio) + RANK(-cal_close_30min_return) + RANK(-cal_close_15min_vol_price_corr) + RANK(MA(TURNOVER,21) / MA(TURNOVER,252))) / 4",-12.004168,no_local_handler,platform intraday cal_* fields are not present in the local daily cache
alphaprobe-gfn-platform-20260916-candidates.report:F-A19,F-A19,alphaprobe-gfn-platform-20260916-candidates.report.csv,,"ps_ratio_ttm - TS_MAX(ps_ratio_ttm,40)",-36.163104000000004,no_local_handler,no local handler for this formula
alphaprobe-gfn-platform-20260916-candidates.report:F-A20,F-A20,alphaprobe-gfn-platform-20260916-candidates.report.csv,,"TS_SKEW(book_to_market_ratio_lf * book_to_market_ratio_lf,30)",-15.348287999999997,no_local_handler,book_to_market_ratio_lf is not mapped in the local financial cache
field-isolation-20260918-candidates.report:F-ALIGN-HIGH-20260918,F-ALIGN-HIGH-20260918,field-isolation-20260918-candidates.report.csv,,HIGH,-12.989536,no_local_handler,market formula needs high/low/amount; use the rich market cache or the explicit local proxy
field-isolation-20260918-candidates.report:F-ALIGN-VWAP-20260918,F-ALIGN-VWAP-20260918,field-isolation-20260918-candidates.report.csv,,AMOUNT / VOLUME,-12.860944,no_local_handler,market formula needs high/low/amount; use the rich market cache or the explicit local proxy
alphaprobe-mainline-20260918-candidates.report:F-AP-MAIN-20260918-01,F-AP-MAIN-20260918-01,alphaprobe-mainline-20260918-candidates.report.csv,,RANK(book_to_market_ratio_lf / MARKET_CAP),18.161312000000002,no_local_handler,book_to_market_ratio_lf is not mapped in the local financial cache
alphaprobe-gfn-new-20260916-candidates.report:F-GFN-N01-20260916,F-GFN-N01-20260916,alphaprobe-gfn-new-20260916-candidates.report.csv,,AMOUNT / VOLUME / HIGH,-8.49088,no_local_handler,HIGH/AMOUNT/VOLUME field semantics do not match the saved platform ranking; qfq high proxy is rejected
size-impact-platform-20260918-candidates.report:F-I10-01,F-I10-01,size-impact-platform-20260918-candidates.report.csv,,"(RANK(-MARKET_CAP) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))) / 2",21.424008,no_local_handler,market formula needs high/low/amount; use the rich market cache or the explicit local proxy
